Comment,Designator,Footprint,LCSC
MCP1700T-1802E/TT,U1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C150796
100nF,C5,C_0402_1005Metric,C1525
BSS138BKS,"U3,U5",SOT-363_L2.1-W1.3-P0.65-LS2.3-BL,C5224290
1uF,C2,C_0402_1005Metric,C52923
ICM-20948,U4,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,C726001
Conn_01x01_Pin,J3,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J2,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J9,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J15,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J4,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J10,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J14,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J8,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J12,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J16,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J11,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J13,PinHeader_1x01_P1.27mm_Vertical,
4.7k,R1,R_0402_1005Metric,
1uF,C1,C_0402_1005Metric,
4.7k,R2,R_0402_1005Metric,
Conn_01x01_Pin,J18,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J17,PinHeader_1x01_P1.27mm_Vertical,
4.7k,R7,R_0402_1005Metric,
4.7k,R5,R_0402_1005Metric,
4.7k,R3,R_0402_1005Metric,
4.7k,R8,R_0402_1005Metric,
4.7k,R4,R_0402_1005Metric,
4.7k,R6,R_0402_1005Metric,
