Comment,Designator,Footprint,LCSC
22pF,C4,C_0402_1005Metric,C12530
MCP73831/2,U1,SOT-23-5,C14879
22pF,C5,C_0402_1005Metric,C1532
10K,R1,R_0402_1005Metric,C25744
47.5k,"R2,R3,R4,R5,R6",R_0402_1005Metric,C25762
ESP32-C3FH4,U2,ESP32-C3FH4,C2858491
XTAL_40MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C2929402
WS2812C-2020-V1,"LED1,LED2",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,C2976072
MIC5504,U3,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,C3021135
TS-1088R-02026,SW1,SW-SMD_L3.9-W3.0-P4.45,C455280
Antenna_Chip,AE1,C_1206_3216Metric,C6807751
~,SW2,SW-SMD_L3.9-W3.0-P4.45,C720477
0.1uF,C10,C_0402_1005Metric,
3.3pF,C1,C_0402_1005Metric,
2.2nH,L1,L_0402_1005Metric,
1uF,C2,C_0402_1005Metric,
1uF,C9,C_0402_1005Metric,
3.3pF,C12,C_0402_1005Metric,
3.3pF,C3,C_0402_1005Metric,
0.1uF,C7,C_0402_1005Metric,
10uF,C6,C_0402_1005Metric,
1uF,C8,C_0402_1005Metric,
