"Reference","Value","Footprint","DNP","LCSC"
"C1","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J10","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J11","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J12","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J13","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J14","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J15","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J16","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J17","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J18","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"R1","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R2","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R3","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R4","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R5","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R6","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R7","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"R8","4.7k","Resistor_SMD:R_0402_1005Metric","",""
"U1","MCP1700T-1802E/TT","00_lcsc:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","C150796"
"U3","BSS138BKS","00_lcsc:SOT-363_L2.1-W1.3-P0.65-LS2.3-BL","","C5224290"
"U4","ICM-20948","Package_DFN_QFN:QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm","","C726001"
"U5","BSS138BKS","00_lcsc:SOT-363_L2.1-W1.3-P0.65-LS2.3-BL","","C5224290"
