Comment,Designator,Footprint,LCSC
Conn_01x01_Pin,J14,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J4,SolderWirePad_1x01_SMD_1x2mm,
C,C9,C_0402_1005Metric,
smd_insert,I4,insert_1.2mm,
R,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
C,C2,C_0402_1005Metric,
Conn_01x01_Pin,J9,SolderWirePad_1x01_SMD_1x2mm,
C,C5,C_0402_1005Metric,
Conn_01x01_Pin,J2,SolderWirePad_1x01_SMD_1x2mm,
smd_insert,I3,insert_1.2mm,
C,C8,C_0402_1005Metric,
Conn_01x01_Pin,J17,Pin_D1.2mm_pogo,
R,R7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J21,Pin_D1.2mm_pogo,
R,R12,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
C,C4,C_0402_1005Metric,
Conn_01x01_Pin,J12,SolderWirePad_1x01_SMD_1x2mm,
R,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J13,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J16,SolderWirePad_1x01_SMD_1x2mm,
C,C1,C_0402_1005Metric,
R,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
R,R10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
C,C6,C_0402_1005Metric,
R,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
R,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J1,SolderWirePad_1x01_SMD_1x2mm,
C,C7,C_0402_1005Metric,
C,C3,C_0402_1005Metric,
R,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J10,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J15,SolderWirePad_1x01_SMD_1x2mm,
R,R8,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J20,Pin_D1.2mm_pogo,
C,C11,C_0402_1005Metric,
Conn_01x01_Pin,J5,SolderWirePad_1x01_SMD_1x2mm,
C,C12,C_0402_1005Metric,
Conn_01x01_Pin,J7,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J3,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J18,Pin_D1.2mm_pogo,
C,C10,C_0402_1005Metric,
Conn_01x01_Pin,J22,Pin_D1.2mm_pogo,
R,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
Conn_01x01_Pin,J19,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J11,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J6,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J8,SolderWirePad_1x01_SMD_1x2mm,
R,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,
