"Reference","Value","Footprint","DNP","LCSC"
"I3","smd_insert","00_custom-footprints:insert_1.2mm","",""
"I4","smd_insert","00_custom-footprints:insert_1.2mm","",""
"J1","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J2","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J3","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J4","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J5","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J6","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J7","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J8","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J9","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J10","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J11","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J12","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J13","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J14","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J15","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J16","Conn_01x01_Pin","00_custom-footprints:SolderWirePad_1x01_SMD_1x2mm","",""
"J17","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J18","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J19","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J20","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J21","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J22","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J23","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J24","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J25","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J26","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J27","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J28","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J29","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J30","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J31","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
"J32","Conn_01x01_Pin","00_custom-footprints:Pin_D1.2mm_pogo","",""
