Comment,Designator,Footprint,LCSC
TS-1088R-02026,SW1,SW-SMD_L3.9-W3.0-P4.45,C455280
ADS1298CZXGT,U2,NFBGA-64_L8.0-W8.0-R8-C8-P0.80-TL,C882732
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J4,PinHeader_1x01_P1.27mm_Vertical,
10K,R2,C_0402_1005Metric,
Conn_01x01_Pin,J8,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J25,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J26,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J2,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J3,PinHeader_1x01_P1.27mm_Vertical,
1uF,C2,C_0402_1005Metric,
1uF,C11,C_0402_1005Metric,
10uF,C13,C_0402_1005Metric,
100nF,C14,C_0402_1005Metric,
1uF,C1,C_0402_1005Metric,
1uF,C3,C_0402_1005Metric,
1nF,C10,C_0402_1005Metric,
AP2112K-3.3TRG1,U1,SOT95P285X140-5N,
1uF,C5,C_0402_1005Metric,
1.5nF,C7,C_0402_1005Metric,
1M,R1,C_0402_1005Metric,
100nF,C4,C_0402_1005Metric,
10uF,C8,C_0402_1005Metric,
22uF,C15,C_0402_1005Metric,
100nF,C9,C_0402_1005Metric,
1uF,C12,C_0402_1005Metric,
100nF,C6,C_0402_1005Metric,
