"Reference","Value","Footprint","DNP","LCSC"
"C3","2.2uF","Capacitor_SMD:C_0402_1005Metric","",""
"C4","22uF","Capacitor_SMD:C_0402_1005Metric","",""
"C5","22nF","Capacitor_SMD:C_0402_1005Metric","",""
"C6","10nF","Capacitor_SMD:C_0402_1005Metric","",""
"C7","2.2uF - 16V ceramic X7R","Capacitor_SMD:C_0603_1608Metric","",""
"J1","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J2","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J3","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J4","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J5","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J6","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J7","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J8","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J9","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J10","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J11","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J12","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J13","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J14","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J15","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J16","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J17","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J18","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J19","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J20","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J21","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J22","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J23","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"J24","Conn_01x01_Pin","00_custom-footprints:PinHeader_1x01_P1.27mm_Vertical","",""
"L1","FNR5040S330MT","00_lcsc:IND-SMD_L5.0-W5.0_FNR50XXS","","C167973"
"L2","FNR5040S330MT","00_lcsc:IND-SMD_L5.0-W5.0_FNR50XXS","","C167973"
"R1","0.33","Resistor_SMD:R_1206_3216Metric","",""
"R2","0.33","Resistor_SMD:R_1206_3216Metric","",""
"R3","1k","Resistor_SMD:R_0402_1005Metric","",""
"R4","47k","Resistor_SMD:R_0402_1005Metric","",""
"R5","18k","Resistor_SMD:R_0402_1005Metric","",""
"R6","1k","Resistor_SMD:R_0402_1005Metric","",""
"R7","1k","Resistor_SMD:R_0402_1005Metric","",""
"U3","STSPIN240","00_lcsc:QFN-16_L3.0-W3.0-P0.50-BL-EP1.7","","C962258"
