Comment,Designator,Footprint,LCSC
LIS3DHTR,U6,LGA-16_L3.0-W3.0-P0.50-TL,C15134
CJ432,U5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C2910208
OPA333,"U2,U4",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C3007938
INA350ABSIDSGR,U1,WSON-8_L2.0-W2.0-P0.50-TL-EP,C4370677
AP2112K-3.3TRG1,U3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118
1k,R12,R_0402_1005Metric,
Conn_01x01_Pin,J4,PinHeader_1x01_P1.27mm_Vertical,
4k,R4,R_0402_1005Metric,
Conn_01x01_Pin,J6,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
1uF,C10,C_0402_1005Metric,
1k,R10,R_0402_1005Metric,
100k,R8,R_0402_1005Metric,
10uF,C1,C_0402_1005Metric,
Conn_01x01_Pin,J2,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
330,R3,R_0402_1005Metric,
4k,R5,R_0402_1005Metric,
Conn_01x01_Pin,J3,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J9,PinHeader_1x01_P1.27mm_Vertical,
10nF,C3,C_0402_1005Metric,
1M,R9,R_0402_1005Metric,
Conn_01x01_Pin,J10,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J8,PinHeader_1x01_P1.27mm_Vertical,
100nF,C2,C_0402_1005Metric,
1uF,C11,C_0402_1005Metric,
10k,R6,R_0402_1005Metric,
1u,C15,C_0402_1005Metric,
1uF,C8,C_0402_1005Metric,
100n,C14,C_0402_1005Metric,
2k,R1,R_0402_1005Metric,
1uF,C6,C_0402_1005Metric,
1uF,C13,C_0402_1005Metric,
100nF,C9,C_0402_1005Metric,
1uF,C7,C_0402_1005Metric,
100k,R11,R_0402_1005Metric,
100pF,C4,C_0402_1005Metric,
100pF,C5,C_0402_1005Metric,
10k,R7,R_0402_1005Metric,
10k,R2,R_0402_1005Metric,
100nF,C12,C_0402_1005Metric,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
