Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,73.859999,-49.940002,180.0,top
FPC1,FPC-05F-18PH20,FPC-SMD_18P-P0.50_FPC-05F-18PH20,53.5,-81.787504,180.0,bottom
FPC2,FPC-05F-18PH20,FPC-SMD_18P-P0.50_FPC-05F-18PH20,53.5,-63.537503,180.0,top
KiKit_TO_1,NPTH,NPTH,2.5,-2.5,0.0,top
KiKit_TO_2,NPTH,NPTH,81.5,-2.5,0.0,top
KiKit_TO_3,NPTH,NPTH,2.5,-98.750004,0.0,top
KiKit_TO_4,NPTH,NPTH,81.5,-98.750004,0.0,top
LED1,WS2812C-2020-V1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,19.5,-51.750002,90.0,bottom
LED2,WS2812C,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,47.5,-33.500001,270.0,bottom
R1,10K,R_0402_1005Metric,24.599999,-35.500001,180.0,bottom
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,9.699999,-74.400003,0.0,bottom
U1,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,57.569999,-34.210001,-90.0,top
U2,74HC688,TSSOP-20_W4.4mm,67.0,-17.5,-90.0,top
