Comment,Designator,Footprint,LCSC
74HC688,U2,TSSOP-20_W4.4mm,C132045
4.7uF,C1,C_0402_1005Metric,C23733
10K,R1,R_0402_1005Metric,C25744
XF2J-1824-12A,"J10,J4",XUNPU_FPC_05F_18P_H20,C2856802
HC32L110C6UA,U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,C493490
NA,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477
smd_insert,I1,insert_1.2mm,
WS2812-2020,LED2,WS2812-2020,
WS2812-2020,LED1,WS2812-2020,
Conn_01x01_Pin,J17,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J3,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J19,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J20,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J2,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J12,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J8,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J15,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J14,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J18,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J13,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J21,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J16,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J11,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J9,PinHeader_1x01_P1.27mm_Vertical,
