Designator,Mid X,Mid Y,Layer,Rotation
A1, 2.00,22.00,Top,270.0
A2, 2.00,24.50,Top,270.0
ADC, 7.70,32.70,Top,90.0
AMP,14.70,29.10,Top,270.0
C1,11.34,29.37,Top,90.0
C2, 7.40,27.85,Top,90.0
C3,14.50,24.00,Top,90.0
C4,20.50,22.00,Top,0.0
C5,13.50,10.00,Top,0.0
C6, 9.50, 3.00,Top,270.0
C7,11.50, 2.50,Top,90.0
C8,11.00,34.50,Top,90.0
C9,12.80,34.55,Top,90.0
D3, 7.60,16.00,Top,270.0
IC1,14.00,15.00,Top,180.0
L, 6.00, 6.00,Top,180.0
R1,17.70,29.10,Top,270.0
R2, 9.50,27.90,Top,90.0
R3,17.00,20.50,Top,0.0
R4,17.00,10.00,Top,0.0
R5,12.50,23.50,Top,270.0
R6,17.00,23.00,Top,180.0
R7, 6.00,24.50,Top,180.0
R8,10.00,21.00,Top,270.0
R9, 6.90,12.30,Top,0.0
R10,10.00, 9.50,Top,180.0
R11,10.00, 7.00,Top,0.0
R12, 7.50,19.00,Top,180.0
R13,10.67,24.44,Top,0.0
R14, 7.00,22.00,Top,0.0
R15, 6.00, 9.00,Top,270.0
R16, 4.50,20.00,Top,90.0
R17, 4.50,17.00,Top,270.0
TLE,15.40, 4.60,Top,180.0
X1,21.20,13.00,Top,90.0
X2,21.20,18.00,Top,270.0
X4, 1.80,13.00,Top,90.0
X6, 1.80,18.00,Top,270.0
