Comment,Designator,Footprint,LCSC
XF2J-1824-12A,"J1,J2",XF2J-1824-12A,C397324
TestPoint,TP15,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP9,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP14,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP19,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP12,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP7,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP31,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP10,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP35,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP11,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP33,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP5,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP11,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP5,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP13,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP28,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP16,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP1,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP20,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP26,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP7,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP25,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP4,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP34,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP30,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP13,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP18,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP23,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP8,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP14,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP8,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP36,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP2,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP15,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP16,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP6,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP22,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP10,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP32,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP29,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP17,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP21,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP24,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP18,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP27,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP17,PinHeader_1x01_P2.54mm_Vertical,
SolderJumper_2_Bridged,JP6,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP12,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
SolderJumper_2_Bridged,JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
TestPoint,TP9,PinHeader_1x01_P2.54mm_Vertical,
TestPoint,TP3,PinHeader_1x01_P2.54mm_Vertical,
