Comment,Designator,Footprint,LCSC
NPTH,KiKit_MB_74_3,NPTH,
Conn_01x01_Pin,J13,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J26,Pin_D1.2mm_pogo,
smd_insert,I4,insert_1.2mm,
Conn_01x01_Pin,J16,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J9,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_63_2,NPTH,
NPTH,KiKit_MB_7_6,NPTH,
Conn_01x01_Pin,J15,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J30,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_94_6,NPTH,
Conn_01x01_Pin,J17,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_27_7,NPTH,
Conn_01x01_Pin,J14,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_48_6,NPTH,
NPTH,KiKit_MB_101_6,NPTH,
Conn_01x01_Pin,J32,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_95_4,NPTH,
Conn_01x01_Pin,J23,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_67_4,NPTH,
Conn_01x01_Pin,J24,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_36_4,NPTH,
Conn_01x01_Pin,J31,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_53_7,NPTH,
smd_insert,I3,insert_1.2mm,
Conn_01x01_Pin,J19,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_37_2,NPTH,
NPTH,KiKit_MB_87_5,NPTH,
Conn_01x01_Pin,J8,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_55_6,NPTH,
NPTH,KiKit_MB_72_5,NPTH,
NPTH,KiKit_MB_48_7,NPTH,
Conn_01x01_Pin,J10,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J28,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_64_3,NPTH,
Conn_01x01_Pin,J25,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_77_2,NPTH,
Conn_01x01_Pin,J3,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_59_7,NPTH,
NPTH,KiKit_MB_93_4,NPTH,
Conn_01x01_Pin,J6,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_43_3,NPTH,
Conn_01x01_Pin,J4,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_10_5,NPTH,
NPTH,KiKit_MB_76_1,NPTH,
NPTH,KiKit_MB_77_1,NPTH,
NPTH,KiKit_MB_67_3,NPTH,
NPTH,KiKit_MB_52_3,NPTH,
NPTH,KiKit_MB_68_1,NPTH,
NPTH,KiKit_MB_19_6,NPTH,
NPTH,KiKit_MB_37_3,NPTH,
Conn_01x01_Pin,J27,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_50_3,NPTH,
Conn_01x01_Pin,J18,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J29,Pin_D1.2mm_pogo,
Conn_01x01_Pin,J21,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_22_6,NPTH,
NPTH,KiKit_MB_62_5,NPTH,
NPTH,KiKit_MB_8_1,NPTH,
NPTH,KiKit_MB_99_3,NPTH,
Conn_01x01_Pin,J20,Pin_D1.2mm_pogo,
NPTH,KiKit_MB_101_5,NPTH,
NPTH,KiKit_MB_79_4,NPTH,
Conn_01x01_Pin,J11,SolderWirePad_1x01_SMD_1x2mm,
Conn_01x01_Pin,J7,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_25_4,NPTH,
NPTH,KiKit_MB_90_5,NPTH,
NPTH,KiKit_MB_19_7,NPTH,
NPTH,KiKit_MB_43_1,NPTH,
NPTH,KiKit_MB_82_6,NPTH,
NPTH,KiKit_MB_18_7,NPTH,
NPTH,KiKit_MB_30_3,NPTH,
NPTH,KiKit_MB_84_2,NPTH,
NPTH,KiKit_MB_47_5,NPTH,
NPTH,KiKit_MB_59_5,NPTH,
NPTH,KiKit_MB_101_2,NPTH,
NPTH,KiKit_MB_72_2,NPTH,
NPTH,KiKit_MB_45_1,NPTH,
NPTH,KiKit_MB_76_4,NPTH,
Conn_01x01_Pin,J5,SolderWirePad_1x01_SMD_1x2mm,
NPTH,KiKit_MB_65_6,NPTH,
NPTH,KiKit_MB_84_6,NPTH,
NPTH,KiKit_MB_64_1,NPTH,
NPTH,KiKit_MB_62_7,NPTH,
NPTH,KiKit_MB_83_5,NPTH,
NPTH,KiKit_MB_3_5,NPTH,
NPTH,KiKit_MB_12_6,NPTH,
NPTH,KiKit_MB_62_3,NPTH,
NPTH,KiKit_MB_67_6,NPTH,
NPTH,KiKit_MB_29_4,NPTH,
NPTH,KiKit_MB_13_2,NPTH,
NPTH,KiKit_MB_13_4,NPTH,
NPTH,KiKit_MB_37_7,NPTH,
NPTH,KiKit_MB_75_1,NPTH,
NPTH,KiKit_MB_22_3,NPTH,
NPTH,KiKit_MB_93_2,NPTH,
NPTH,KiKit_MB_57_1,NPTH,
NPTH,KiKit_MB_102_5,NPTH,
NPTH,KiKit_MB_36_5,NPTH,
NPTH,KiKit_MB_26_1,NPTH,
NPTH,KiKit_MB_68_7,NPTH,
NPTH,KiKit_MB_99_2,NPTH,
NPTH,KiKit_MB_36_2,NPTH,
NPTH,KiKit_MB_86_2,NPTH,
NPTH,KiKit_MB_100_5,NPTH,
NPTH,KiKit_MB_12_5,NPTH,
NPTH,KiKit_MB_29_7,NPTH,
NPTH,KiKit_MB_54_6,NPTH,
NPTH,KiKit_MB_58_7,NPTH,
NPTH,KiKit_MB_47_1,NPTH,
NPTH,KiKit_MB_28_7,NPTH,
NPTH,KiKit_MB_18_1,NPTH,
NPTH,KiKit_MB_58_1,NPTH,
NPTH,KiKit_MB_10_2,NPTH,
