Comment,Designator,Footprint,LCSC
4.7uF,C1,C_0402_1005Metric,C23733
AO4882_C3040598,"Q1,Q2",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C3040598
TS-1088R-02026,SW1,SW-SMD_L3.9-W3.0-P4.45,C455280
HC32L110C6UA-SFN20TR,U4,WQFN-20_L3.0-W3.0-P0.40-BL-EP,C493490
DS12W-MS,"U1,U2,U3,U5",SOD-123FL_L2.7-W1.8-LS3.8-RD,C5120757
Conn_01x01_Pin,J24,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J17,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J16,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J15,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J23,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J22,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J21,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J20,PinHeader_1x01_P1.27mm_Vertical,
2k,R9,R_0402_1005Metric,
2k,R8,R_0402_1005Metric,
1k,R7,R_0402_1005Metric,
1k,R6,R_0402_1005Metric,
2k,R5,R_0402_1005Metric,
2k,R4,R_0402_1005Metric,
1k,R3,R_0402_1005Metric,
10K,R2,R_0402_1005Metric,
1k,R1,R_0402_1005Metric,
Conn_01x01_Pin,J19,TestPoint_Pad_D1.0mm,
Conn_01x01_Pin,J14,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J13,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J12,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J11,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J10,TestPoint_Pad_D1.0mm,
Conn_01x01_Pin,J18,TestPoint_Pad_D1.0mm,
Conn_01x01_Pin,J9,TestPoint_Pad_D1.0mm,
Conn_01x01_Pin,J1,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J5,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J4,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J8,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J7,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J2,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J6,PinHeader_1x01_P1.27mm_Vertical,
Conn_01x01_Pin,J3,PinHeader_1x01_P1.27mm_Vertical,
